,PC6;Huisnummer;Buurt2025;Wijk2025;Gemeente2025
0,1011AB;99;0363AF01;0363AF;0363
1,1011AB;105;0363AF01;0363AF;0363
2,1011AB;106;0363AF01;0363AF;0363
3,1011AB;107;0363AF01;0363AF;0363
4,1011AB;110;0363AF01;0363AF;0363
5,1011AB;112;0363AF01;0363AF;0363
6,1011AB;113;0363AF01;0363AF;0363
7,1011AB;120;0363AF01;0363AF;0363
8,1011AB;124;0363AF01;0363AF;0363
9,1011AC;125;0363AF01;0363AF;0363
10,1011AC;127;0363AF01;0363AF;0363
11,1011AC;128;0363AF01;0363AF;0363
12,1011AC;139;0363AF01;0363AF;0363
13,1011AC;140;0363AF01;0363AF;0363
14,1011AC;142;0363AF01;0363AF;0363
15,1011AC;143;0363AF01;0363AF;0363
16,1011AC;144;0363AF01;0363AF;0363
17,1011AC;146;0363AF01;0363AF;0363
18,1011AC;147;0363AF01;0363AF;0363
19,1011AC;148;0363AF01;0363AF;0363
20,1011AC;149;0363AF01;0363AF;0363
21,1011AC;150;0363AF01;0363AF;0363
22,1011AC;151;0363AF01;0363AF;0363
23,1011AC;152;0363AF01;0363AF;0363
24,1011AC;154;0363AF01;0363AF;0363
25,1011AD;1;0363AF01;0363AF;0363
26,1011AD;3;0363AF01;0363AF;0363
27,1011AE;8;0363AF01;0363AF;0363
28,1011AE;100;0363AF01;0363AF;0363
29,1011AG;96;0363AF02;0363AF;0363
30,1011AG;97;0363AF02;0363AF;0363
31,1011AG;98;0363AF02;0363AF;0363
32,1011AG;99;0363AF02;0363AF;0363
33,1011AH;100;0363AF02;0363AF;0363
34,1011AH;101;0363AF02;0363AF;0363
35,1011AH;102;0363AF02;0363AF;0363
36,1011AH;103;0363AF02;0363AF;0363
37,1011AJ;104;0363AF02;0363AF;0363
38,1011AJ;105;0363AF02;0363AF;0363
39,1011AJ;106;0363AF02;0363AF;0363
40,1011AJ;107;0363AF02;0363AF;0363
41,1011AK;108;0363AF03;0363AF;0363
42,1011AK;114;0363AF03;0363AF;0363
43,1011AL;4;0363AF09;0363AF;0363
44,1011AL;6;0363AF09;0363AF;0363
45,1011AM;120;0363AF03;0363AF;0363
46,1011AM;121;0363AF03;0363AF;0363
47,1011AM;122;0363AF03;0363AF;0363
48,1011AM;123;0363AF03;0363AF;0363
49,1011AN;124;0363AF03;0363AF;0363
50,1011AN;125;0363AF03;0363AF;0363
51,1011AN;126;0363AF03;0363AF;0363
52,1011AN;127;0363AF03;0363AF;0363
53,1011AP;128;0363AF03;0363AF;0363
54,1011AP;129;0363AF03;0363AF;0363
55,1011AP;130;0363AF03;0363AF;0363
56,1011AP;131;0363AF03;0363AF;0363
57,1011AR;132;0363AF03;0363AF;0363
58,1011AR;133;0363AF03;0363AF;0363
59,1011AR;134;0363AF03;0363AF;0363
60,1011AR;135;0363AF03;0363AF;0363
61,1011AR;136;0363AF03;0363AF;0363
62,1011AR;137;0363AF03;0363AF;0363
63,1011AS;139;0363AF03;0363AF;0363
64,1011AS;140;0363AF03;0363AF;0363
65,1011AS;141;0363AF03;0363AF;0363
66,1011AT;142;0363AF03;0363AF;0363
67,1011AT;143;0363AF03;0363AF;0363
68,1011AT;144;0363AF03;0363AF;0363
69,1011AT;145;0363AF03;0363AF;0363
70,1011AT;146;0363AF03;0363AF;0363
71,1011AV;147;0363AF03;0363AF;0363
72,1011AV;148;0363AF03;0363AF;0363
73,1011AV;149;0363AF03;0363AF;0363
74,1011AV;150;0363AF03;0363AF;0363
75,1011AV;151;0363AF03;0363AF;0363
76,1011AW;152;0363AF03;0363AF;0363
77,1011AW;153;0363AF03;0363AF;0363
78,1011AW;154;0363AF03;0363AF;0363
79,1011AW;155;0363AF03;0363AF;0363
80,1011AW;156;0363AF03;0363AF;0363
81,1011AX;1;0363AF03;0363AF;0363
82,1011AX;3;0363AF03;0363AF;0363
83,1011AX;5;0363AF03;0363AF;0363
84,1011AX;7;0363AF03;0363AF;0363
85,1011AX;9;0363AF03;0363AF;0363
86,1011AX;11;0363AF03;0363AF;0363
87,1011AX;13;0363AF03;0363AF;0363
88,1011AX;15;0363AF03;0363AF;0363
89,1011AX;17;0363AF03;0363AF;0363
90,1011AX;19;0363AF03;0363AF;0363
91,1011AX;21;0363AF03;0363AF;0363
92,1011AZ;1;0363AF03;0363AF;0363
93,1011AZ;3;0363AF03;0363AF;0363
94,1011AZ;5;0363AF03;0363AF;0363
95,1011AZ;7;0363AF03;0363AF;0363
96,1011AZ;9;0363AF03;0363AF;0363
97,1011AZ;11;0363AF03;0363AF;0363
98,1011AZ;15;0363AF03;0363AF;0363
99,1011AZ;17;0363AF03;0363AF;0363
